id,target,standard_error,avg_sent_length,subtree_per_sent,subtree_len,subtree_len_by_num,node_types,left_dep,right_dep,total_dep,left_dep_dist,right_dep_dist,dep_dist,pron_ratio,perf_verbs,WRB,DT,JJ,NNS,VBD,IN,NN,PRP,RB,VBN,RP,CC,WDT,VBG,NNP,TO,VB,MD,PRP$,VBP,EX,VBZ,PDT,JJR,NNPS,WP,POS,RBR,RBS,JJS,WP$,'',unique_tags,unique_deps,avg_word_freq,lexical_diversity,lexdiv_wordfreq,Outdoors,Family,Science,Nature,War
c12129c31,-0.340259125,0.464009046,14.2,45.4,3.86784140969163,175.6,0.23076923076923078,3.710526315789474,1.0263157894736843,2.3684210526315788,1.9595959595959596,4.0,2.9797979797979797,0.1111111111111111,0.5454545454545454,1.0,32,10.0,15.0,16.0,21,31,4.0,6.0,14.0,1.0,11.0,2.0,2.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.933333333333334,8.666666666666666,0.000814988818367347,0.7551020408163265,0.0006153997199916701,0.050000505827109167,0.679890193956437,0.08442521723316705,0.13600566495075914,0.04967841803252748
85aa80a4c,-0.315372342,0.48080497,12.0,35.31578947368421,3.602086438152012,127.21052631578948,0.13333333333333333,2.849056603773585,1.0,1.9245283018867925,2.385321100917431,4.07,3.1913875598086126,0.5789473684210527,0.03225806451612903,2.0,10,13.0,2.0,13.0,14,21,24.0,13.0,2.0,1.0,7.0,1.0,2.0,9.0,6.0,11.0,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.684210526315789,7.315789473684211,0.0009365716122448981,0.7755102040816326,0.0007263208421491046,0.04755525938396612,0.8114986510455316,0.04667764497287895,0.04660046631189248,0.04766797828573079
b69ac6792,-0.580117966,0.476676226,16.76923076923077,51.53846153846154,3.41044776119403,175.76923076923077,0.11764705882352941,3.066666666666667,1.0222222222222221,2.0444444444444443,2.383177570093458,3.7551020408163267,3.0390243902439025,0.3939393939393939,0.13793103448275862,0.0,13,6.0,2.0,15.0,18,21,15.0,20.0,5.0,0.0,10.0,0.0,1.0,20.0,1.0,5.0,1.0,6.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.923076923076923,9.76923076923077,0.0011770954691358024,0.8024691358024691,0.0009445827838744094,0.05109012129854159,0.7977852069237389,0.05011713448335362,0.05040749433161215,0.050600042962753784
dd1000b26,-1.05401339,0.450007142,33.5,141.0,3.7825059101654848,533.3333333333334,0.15384615384615385,3.5652173913043477,0.9565217391304348,2.260869565217391,2.051948051948052,6.3559322033898304,4.656410256410257,0.5217391304347826,0.2222222222222222,0.0,17,20.0,15.0,14.0,26,29,7.0,3.0,3.0,0.0,15.0,1.0,1.0,3.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,12.666666666666666,0.00024043828735632186,0.8735632183908046,0.00021003804412736163,0.8073264111589344,0.04820302833582809,0.0470170707811485,0.04911549657725517,0.048337993146833694
37c1b32fb,0.247197446,0.510844957,36.6,149.6,3.196524064171123,478.19999999999993,0.26666666666666666,3.875,1.625,2.75,2.0760869565217392,6.3023255813953485,4.117977528089888,0.18181818181818182,0.0,0.0,31,29.0,0.0,8.0,17,16,4.0,2.0,0.0,0.0,10.0,0.0,0.0,22.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.8,0.0014542752631578953,0.38596491228070173,0.0005612992243767315,0.08601444886988793,0.6594272247456727,0.08379019724994477,0.08673314858028032,0.08403498055421416
f9bf357fe,-0.861808583,0.480936493,21.11111111111111,94.55555555555556,4.031727379553467,381.2222222222223,0.1875,2.806451612903226,0.9354838709677419,1.8709677419354838,3.074074074074074,3.79,3.4696132596685083,0.1891891891891892,0.21739130434782608,1.0,15,8.0,8.0,12.0,28,23,5.0,13.0,4.0,2.0,9.0,0.0,6.0,14.0,1.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334,10.88888888888889,0.0007188598170731705,0.8170731707317073,0.0005873610700475905,0.06551531661452166,0.06564798959621543,0.7402191292609318,0.06359003055798995,0.06502753397034114
eaf8e7355,-1.759061403,0.476507368,19.9,82.0,4.296341463414634,352.29999999999995,0.12903225806451613,3.466666666666667,1.1333333333333333,2.3,2.101123595505618,3.88,3.0423280423280423,0.2,0.4117647058823529,3.0,18,16.0,6.0,14.0,26,24,8.0,6.0,10.0,0.0,8.0,0.0,1.0,27.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.8,11.3,0.0006381961686746986,0.8192771084337349,0.0005228595116852952,0.05793625594097894,0.3559363032453428,0.055388502575091925,0.05586869124837381,0.47487024699021246
0a43a07f1,-0.95232462,0.498115881,21.88888888888889,109.55555555555556,3.9685598377281948,434.77777777777777,0.24,3.074074074074074,0.9259259259259259,2.0,2.0568181818181817,4.54,3.377659574468085,0.1875,0.3333333333333333,0.0,30,11.0,7.0,13.0,33,31,5.0,7.0,4.0,1.0,3.0,2.0,1.0,6.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,10.11111111111111,10.444444444444445,0.0007711770988235293,0.7529411764705882,0.0005806509920553633,0.5919129438937282,0.04827216265110936,0.04740143906615254,0.048191310675164196,0.2642221437138457
f7eff7419,-0.371640688,0.463710362,15.153846153846153,51.92307692307692,3.933333333333333,204.2307692307692,0.12195121951219512,2.7111111111111112,0.7555555555555555,1.7333333333333334,1.8617021276595744,4.5777777777777775,3.1902173913043477,0.25,0.10714285714285714,2.0,20,12.0,9.0,18.0,20,31,8.0,6.0,3.0,3.0,6.0,0.0,1.0,7.0,1.0,8.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76923076923077,9.076923076923077,0.00070680288172043,0.8064516129032258,0.0005700023239680887,0.056851824901218415,0.7760150824429053,0.054736236156853274,0.05605192483890117,0.05634493166012172
d96e6dbcd,-1.238432225,0.465899778,24.22222222222222,106.33333333333333,3.9070010449320796,415.44444444444446,0.1388888888888889,2.3529411764705883,0.7647058823529411,1.5588235294117647,2.3229166666666665,4.176991150442478,3.325358851674641,0.6,0.2413793103448276,0.0,26,16.0,6.0,16.0,26,25,15.0,10.0,9.0,0.0,11.0,4.0,7.0,2.0,5.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.222222222222221,12.666666666666666,0.0007110731828282828,0.8080808080808081,0.0005746045921844709,0.5781653745314225,0.04683950721243869,0.046998706834560054,0.04715750672722867,0.28083890469435013
c57b50918,-3.081337118,0.553259513,40.8,180.0,4.72,849.5999999999999,0.25806451612903225,3.21875,1.34375,2.28125,2.4555555555555557,4.963302752293578,3.829145728643216,0.45454545454545453,0.5833333333333334,1.0,22,16.0,7.0,15.0,28,23,10.0,7.0,14.0,0.0,9.0,2.0,3.0,10.0,4.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,17.8,0.000988670301075269,0.8172043010752689,0.0008079456223840908,0.06266092252790384,0.26276197296180476,0.06101128778232254,0.06096495389919058,0.5526008628287783
8d8a2667f,-2.145248365,0.518351049,19.2,71.9,3.8372739916550764,275.90000000000003,0.21428571428571427,3.2962962962962963,1.0740740740740742,2.185185185185185,2.057471264367816,4.4,3.28021978021978,0.6206896551724138,0.23529411764705882,0.0,14,14.0,4.0,11.0,24,23,10.0,8.0,5.0,0.0,9.0,3.0,2.0,13.0,2.0,4.0,2.0,8.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.6,10.8,0.001560678472222222,0.8194444444444444,0.001278889303626543,0.04467178013245212,0.3201586759761098,0.04411507379710808,0.04486908332216959,0.5461853867721604
a0d4cd896,-1.400318025,0.494799321,30.285714285714285,151.0,4.3188268684957425,652.1428571428571,0.30434782608695654,3.269230769230769,1.1153846153846154,2.1923076923076925,1.9879518072289157,3.9754098360655736,3.1707317073170733,0.3333333333333333,0.3181818181818182,2.0,20,27.0,13.0,17.0,33,27,5.0,5.0,6.0,1.0,12.0,2.0,4.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.428571428571429,13.285714285714286,0.0005584413766990292,0.8737864077669902,0.0004879584844942973,0.8248731147754482,0.04412131562445686,0.04336750342954308,0.04398122945629951,0.043656836714252266
0963b8cf9,-0.495298635,0.471694283,14.0625,47.5625,3.915900131406045,186.25,0.13333333333333333,2.641509433962264,0.9811320754716981,1.8113207547169812,2.237623762376238,3.8055555555555554,3.047846889952153,0.76,0.25,1.0,29,12.0,7.0,23.0,26,31,16.0,13.0,10.0,0.0,5.0,2.0,4.0,0.0,3.0,6.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,9.3125,0.0008889947205357145,0.7946428571428571,0.000706433304711416,0.8365551067673047,0.04144977606573733,0.04032458058946183,0.04089583767174423,0.04077469890575202
587502a70,0.245805709,0.491792885,18.083333333333332,67.91666666666667,3.6134969325153374,245.41666666666669,0.1794871794871795,2.864864864864865,1.0810810810810811,1.972972972972973,1.8235294117647058,4.184466019417476,3.0097560975609756,0.5555555555555556,0.23076923076923078,2.0,23,16.0,4.0,22.0,26,31,14.0,12.0,6.0,3.0,8.0,1.0,4.0,7.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.75,10.416666666666666,0.0008968915793814437,0.7835051546391752,0.0007027191755978322,0.8259075018422078,0.044473138033653714,0.043044754964827396,0.04334779569624185,0.04322680946306914
af79954c5,-0.188185864,0.481518476,27.857142857142858,108.0,3.8452380952380953,415.2857142857143,0.11904761904761904,2.25,0.875,1.5625,2.357142857142857,4.966666666666667,3.606382978723404,0.9473684210526315,0.19230769230769232,0.0,20,12.0,13.0,19.0,24,11,15.0,15.0,6.0,1.0,6.0,0.0,7.0,5.0,5.0,6.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.428571428571429,12.714285714285714,0.0013617245531914895,0.6702127659574468,0.0009126451792666366,0.5793768875131137,0.0563760621246421,0.05412144295292709,0.05610352670550097,0.25402208070381604
7656dea91,-1.28603909,0.470564481,14.714285714285714,48.857142857142854,3.732456140350877,182.35714285714283,0.14893617021276595,2.26,0.86,1.56,2.131868131868132,3.801980198019802,3.0104166666666665,0.9166666666666666,0.10344827586206896,4.0,12,12.0,7.0,25.0,20,18,24.0,9.0,3.0,2.0,14.0,1.0,0.0,7.0,3.0,6.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.428571428571429,10.428571428571429,0.001077371369047619,0.7619047619047619,0.0008208543764172335,0.04375355005072648,0.7324584244735847,0.04485376682812738,0.042843536903002945,0.13609072174455847
60ecc9777,-0.617733261,0.4966451770000001,96.0,469.0,3.8176972281449895,1790.5,0.16129032258064516,1.896551724137931,0.7931034482758621,1.3448275862068966,1.6987951807228916,9.88785046728972,6.310526315789474,0.4482758620689655,0.45454545454545453,4.0,26,11.0,6.0,14.0,23,23,12.0,11.0,14.0,0.0,15.0,3.0,1.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.5,22.0,0.0008068608636363641,0.7727272727272727,0.0006234833946280995,0.052759319135869474,0.7862518311656178,0.05640806181856201,0.052794251729808936,0.05178653615014179
057f69731,-1.126247781,0.47702836,34.833333333333336,150.33333333333334,3.8558758314855877,579.6666666666667,0.15789473684210525,2.3666666666666667,0.9666666666666667,1.6666666666666667,2.216494845360825,5.216981132075472,3.7832512315270934,0.45454545454545453,0.17391304347826086,1.0,22,10.0,7.0,14.0,28,20,12.0,15.0,6.0,3.0,5.0,2.0,2.0,7.0,4.0,11.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,15.166666666666666,16.0,0.001240411666666667,0.7333333333333333,0.0009096352222222224,0.7940121814919993,0.052233843486629426,0.05095123550056163,0.05113667740372975,0.05166606211708001
5e7c0b55b,-1.009999064,0.496148262,23.11111111111111,82.11111111111111,3.790257104194858,311.22222222222223,0.24324324324324326,3.1315789473684212,0.9210526315789473,2.026315789473684,2.22,4.454545454545454,3.3316582914572863,0.4722222222222222,0.3684210526315789,2.0,15,10.0,8.0,20.0,24,27,8.0,12.0,7.0,2.0,10.0,0.0,0.0,13.0,1.0,4.0,2.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,11.666666666666666,12.444444444444445,0.0009950761227272727,0.7613636363636364,0.0007576147752582645,0.060011293199082334,0.5968308942289015,0.06105711216998808,0.06011487299024957,0.2219858274117785
a9ebe5d33,0.281178362,0.510595335,30.833333333333332,127.83333333333333,3.490221642764016,446.1666666666667,0.15555555555555556,2.4,1.0285714285714285,1.7142857142857142,1.6891891891891893,4.980952380952381,3.6201117318435756,1.3529411764705883,0.08333333333333333,2.0,14,7.0,4.0,19.0,17,25,16.0,11.0,2.0,3.0,14.0,1.0,2.0,2.0,1.0,3.0,1.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,12.5,13.833333333333334,0.0009890207594936706,0.7468354430379747,0.0007386357570902097,0.7558247361845538,0.05054198426108892,0.0933958602145071,0.05043854496679186,0.04979887437305841
47e98a5c8,0.27820314100000004,0.4840451,66.33333333333333,324.6666666666667,3.9414784394250515,1279.6666666666667,0.16666666666666666,1.9642857142857142,0.6071428571428571,1.2857142857142858,2.1702127659574466,6.784313725490196,4.571428571428571,0.5151515151515151,0.3157894736842105,1.0,27,6.0,2.0,14.0,32,32,12.0,9.0,6.0,2.0,9.0,0.0,1.0,9.0,0.0,4.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,18.666666666666668,0.0009371143417721517,0.6962025316455697,0.0006524213771831436,0.7540573612801017,0.061519153106126476,0.06122084879162385,0.06113962492917319,0.06206301189297481
7285ba024,-1.566220068,0.485318409,24.555555555555557,106.55555555555556,3.8561001042752867,410.8888888888889,0.24242424242424243,2.857142857142857,0.9714285714285714,1.9142857142857144,1.8229166666666667,4.706896551724138,3.400943396226415,0.3333333333333333,0.25,2.0,26,19.0,13.0,7.0,27,26,8.0,14.0,6.0,0.0,12.0,1.0,3.0,5.0,2.0,5.0,2.0,6.0,6.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.777777777777779,12.555555555555555,0.0008700583981481482,0.8703703703703703,0.0007572730502400549,0.8227518656486218,0.044835476353639755,0.044025432423377926,0.04405907084269726,0.04432815473166327
66f0a9ff1,-2.386484836,0.526078693,30.5,120.0,4.258333333333334,511.00000000000006,0.17142857142857143,2.4411764705882355,0.9117647058823529,1.6764705882352942,2.216867469879518,4.095744680851064,3.214689265536723,1.0952380952380953,0.3,1.0,16,12.0,9.0,16.0,28,23,14.0,7.0,5.0,0.0,8.0,3.0,1.0,1.0,1.0,2.0,1.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.5,16.0,0.0006591002564102566,0.8333333333333334,0.0005492502136752138,0.05306809751548217,0.7834272531565852,0.0572896334113015,0.05305917433398205,0.053155841582649056
e4f3550b2,-1.483887001,0.476218591,22.0,83.66666666666667,4.3585657370517925,364.6666666666667,0.125,3.3703703703703702,1.2962962962962963,2.3333333333333335,2.25,4.554455445544554,3.4814814814814814,0.29411764705882354,0.125,0.0,21,16.0,9.0,9.0,25,20,7.0,7.0,2.0,0.0,9.0,1.0,5.0,16.0,3.0,4.0,1.0,4.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.444444444444445,11.11111111111111,0.000890645564102564,0.7948717948717948,0.0007079490381328073,0.7584427968206215,0.060806415172389126,0.059607395792617174,0.060567306583515584,0.06057608563085649
e6181a3fb,0.633138503,0.51578045,19.666666666666668,70.66666666666667,4.113207547169812,290.66666666666674,0.17073170731707318,2.5277777777777777,0.75,1.6388888888888888,2.5280898876404496,3.9367088607594938,3.1904761904761907,0.6521739130434783,0.08,2.0,13,10.0,1.0,12.0,22,22,13.0,10.0,3.0,1.0,5.0,2.0,4.0,9.0,4.0,6.0,2.0,5.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,11.555555555555555,12.555555555555555,0.0013001744868421058,0.7894736842105263,0.0010264535422437678,0.04559822673588416,0.8183654918352571,0.04555696815932418,0.04495060184730296,0.04552871142223145
08104f366,-1.394485086,0.474054569,22.857142857142858,79.85714285714286,4.366726296958855,348.7142857142857,0.2,2.4411764705882355,0.9117647058823529,1.6764705882352942,2.318840579710145,4.988095238095238,3.784313725490196,0.13636363636363635,0.18181818181818182,0.0,12,8.0,7.0,13.0,22,20,12.0,9.0,4.0,0.0,6.0,1.0,6.0,1.0,3.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.428571428571429,13.0,0.0006890232972972972,0.8918918918918919,0.0006145342921840759,0.8172635350392065,0.046167657112107775,0.04527298834732864,0.045473656288371245,0.045822163212985864
2df8a90eb,-0.146083426,0.503310325,27.857142857142858,113.71428571428571,3.8731155778894473,440.4285714285714,0.2608695652173913,3.242424242424242,0.8787878787878788,2.0606060606060606,2.4838709677419355,4.494736842105263,3.5,0.7142857142857143,0.12,0.0,23,18.0,8.0,15.0,22,24,10.0,5.0,3.0,1.0,10.0,2.0,4.0,2.0,8.0,8.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.571428571428571,13.857142857142858,0.0010422270439560438,0.8461538461538461,0.0008818844218089601,0.04669028269804276,0.8086435716609398,0.050873376131268584,0.04639218324970569,0.04740058626004331
fc36fd8ff,-1.314628766,0.4493635620000001,50.75,213.0,3.7711267605633805,803.25,0.19230769230769232,2.5806451612903225,0.8387096774193549,1.7096774193548387,2.705263157894737,5.5,4.165829145728643,0.8333333333333334,0.17391304347826086,2.0,14,10.0,6.0,15.0,25,31,11.0,10.0,5.0,0.0,9.0,2.0,3.0,7.0,3.0,6.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,19.5,19.0,0.000906119125,0.7717391304347826,0.000699287585597826,0.052991106090003876,0.791339561543561,0.051391131853159334,0.0516936677560695,0.0525845327572063
060e33d14,-1.4137438830000002,0.492639527,16.333333333333332,57.666666666666664,4.014450867052023,231.5,0.16326530612244897,2.2291666666666665,0.8958333333333334,1.5625,1.793103448275862,4.092783505154639,3.005434782608696,1.1,0.2857142857142857,4.0,12,7.0,5.0,17.0,18,23,20.0,7.0,9.0,0.0,10.0,2.0,3.0,2.0,3.0,9.0,4.0,7.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.333333333333334,0.0007723633369565218,0.8260869565217391,0.0006380392783553875,0.7852010066857374,0.053978544312313845,0.0523346299570335,0.05272397808956341,0.055761840955351846
aa6f9e224,-0.479830828,0.495426627,20.2,74.2,3.665768194070081,272.0,0.10638297872340426,2.2051282051282053,0.7692307692307693,1.4871794871794872,1.825,4.598214285714286,3.4427083333333335,0.4166666666666667,0.03333333333333333,1.0,14,2.0,6.0,23.0,29,17,21.0,16.0,2.0,0.0,11.0,0.0,8.0,9.0,1.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,9.8,0.0008874820240963852,0.7831325301204819,0.0006950160429670487,0.8173532718896025,0.04583424896168366,0.04515033473218569,0.0458390633764806,0.04582308104004752
4d5b83eba,0.404633391,0.482963505,15.833333333333334,54.333333333333336,3.584355828220859,194.75,0.10714285714285714,3.303030303030303,1.3636363636363635,2.3333333333333335,1.4473684210526316,4.235294117647059,3.044943820224719,0.47368421052631576,0.0,0.0,19,15.0,5.0,12.0,23,21,13.0,26.0,0.0,0.0,8.0,1.0,4.0,0.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.833333333333334,0.0008686204222222225,0.6555555555555556,0.0005694289434567903,0.8181741038780209,0.04552251059069701,0.04440335073538864,0.046435637805793004,0.04546439699010045
918a52c5a,-0.952123031,0.452621482,18.272727272727273,72.0909090909091,3.569987389659521,257.3636363636364,0.09302325581395349,1.9473684210526316,0.631578947368421,1.2894736842105263,1.8876404494382022,5.00990099009901,3.5473684210526315,0.65,0.2222222222222222,0.0,17,5.0,4.0,18.0,27,20,17.0,18.0,6.0,0.0,8.0,0.0,0.0,7.0,2.0,6.0,2.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.454545454545455,8.727272727272727,0.001009356049382717,0.7901234567901234,0.0007975158908702949,0.04977557850199674,0.8030910149592791,0.04865970192035375,0.04889846680657189,0.049575237811798546
83e4f4031,-1.053897658,0.470510397,25.666666666666668,94.88888888888889,3.7857142857142856,359.2222222222222,0.1590909090909091,2.902439024390244,0.9512195121951219,1.9268292682926829,1.911764705882353,5.983333333333333,4.112612612612613,0.45714285714285713,0.2,0.0,18,15.0,1.0,17.0,22,22,14.0,16.0,7.0,1.0,7.0,0.0,5.0,20.0,6.0,13.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,12.222222222222221,12.88888888888889,0.0011357431326530615,0.7653061224489796,0.0008691911729487716,0.04451465060256207,0.8200897700069191,0.045280778101045784,0.04489252976908492,0.045222271520388
c8ff70806,0.022597727,0.510076717,22.428571428571427,106.85714285714286,4.208556149732621,449.7142857142858,0.1875,1.96875,0.59375,1.28125,1.9466666666666668,3.64,2.7933333333333334,0.5,0.1111111111111111,1.0,20,14.0,3.0,16.0,19,31,11.0,2.0,1.0,2.0,7.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.142857142857142,12.714285714285714,0.0008104418831168836,0.8051948051948052,0.0006525635941980102,0.04575827123475885,0.8144320812953375,0.04564123680636212,0.04790748284414155,0.04626092781940001
